id,title,action,category,subcategory,bucket,source_file,source_hint,raw
rev3-28,"Append entries summarizing refactor tasks (e.g., “Refactor: move features to apps/”)",Move,Refactorplanv3,Document,Refactorplanv3,revision_003.md,Section: Document | Target: `CHANGELOG.md`,"Append entries summarizing refactor tasks (e.g., “Refactor: move features to apps/”)"
rev3-30,Update env var and command instructions (per `CLAUDE.md`),Update,Refactorplanv3,Document,Refactorplanv3,revision_003.md,Section: Document | Target: `README.md`,Update env var and command instructions (per `CLAUDE.md`)
rev3-29,Update/add architecture and folder structure documentation,Update,Refactorplanv3,Document,Refactorplanv3,revision_003.md,Section: Document | Target: `docs/`,Update/add architecture and folder structure documentation
rev3-12,Ensure stories exist for each extracted component,Ensure,Refactorplanv3,Extract,Refactorplanv3,revision_003.md,Section: Extract | Target: `src/components/*/*.stories.*`,Ensure stories exist for each extracted component
rev3-7,Extract to `src/components/ui/FormField.jsx`,Extract,Refactorplanv3,Extract,Refactorplanv3,revision_003.md,Section: Extract | Target: `src/components/FormField.jsx`,Extract to `src/components/ui/FormField.jsx`
rev3-6,Extract to `src/components/ui/Panel.jsx`,Extract,Refactorplanv3,Extract,Refactorplanv3,revision_003.md,Section: Extract | Target: `src/components/Panel.jsx`,Extract to `src/components/ui/Panel.jsx`
rev3-11,Migrate common CSS variables into token files,Migrate,Refactorplanv3,Extract,Refactorplanv3,revision_003.md,Section: Extract | Target: Various `*.css` files,Migrate common CSS variables into token files
rev3-8,Move into shared `ui/` folder; ensure token/theme usage,Move,Refactorplanv3,Extract,Refactorplanv3,revision_003.md,Section: Extract | Target: `src/components/GlassDock.jsx`,Move into shared `ui/` folder; ensure token/theme usage
rev3-5,Move to `src/components/ui/Button.jsx`; update exports,Move,Refactorplanv3,Extract,Refactorplanv3,revision_003.md,Section: Extract | Target: `src/components/Button.jsx`,Move to `src/components/ui/Button.jsx`; update exports
rev3-9,Move to `src/components/ui/StatCard.jsx`; update references,Move,Refactorplanv3,Extract,Refactorplanv3,revision_003.md,Section: Extract | Target: `src/components/StatCard.jsx`,Move to `src/components/ui/StatCard.jsx`; update references
rev3-10,"Verify all design tokens (colors, spacing, typography) are centralized",Verify,Refactorplanv3,Extract,Refactorplanv3,revision_003.md,Section: Extract | Target: `src/styles/tokens/` or `tokens/`,"Verify all design tokens (colors, spacing, typography) are centralized"
rev3-17,"Add global contexts (Theme, Auth, GlassDock)",Add,Refactorplanv3,Migrate,Refactorplanv3,revision_003.md,Section: Migrate | Target: `src/AppProviders.jsx` (or create it),"Add global contexts (Theme, Auth, GlassDock)"
rev3-16,Ensure theming token output (from `tokens/`) is imported at root,Ensure,Refactorplanv3,Migrate,Refactorplanv3,revision_003.md,Section: Migrate | Target: `src/styles/`,Ensure theming token output (from `tokens/`) is imported at root
rev3-18,Extract config logic into `config/`,Extract,Refactorplanv3,Migrate,Refactorplanv3,revision_003.md,Section: Migrate | Target: `server.js` env parsing,Extract config logic into `config/`
rev3-15,Move common utilities/logging to `src/shared/lib/`,Move,Refactorplanv3,Migrate,Refactorplanv3,revision_003.md,"Section: Migrate | Target: `src/utils/`, `src/lib/logger.js`",Move common utilities/logging to `src/shared/lib/`
rev3-14,Move reusable hooks to `src/shared/hooks/`; keep app-specific hooks in each app,Move,Refactorplanv3,Migrate,Refactorplanv3,revision_003.md,Section: Migrate | Target: `src/hooks/` or `src/components/hooks/`,Move reusable hooks to `src/shared/hooks/`; keep app-specific hooks in each app
rev3-13,Move to `src/shared/lib/store.js`; use Zustand slices per feature,Move,Refactorplanv3,Migrate,Refactorplanv3,revision_003.md,Section: Migrate | Target: `src/lib/store.js`,Move to `src/shared/lib/store.js`; use Zustand slices per feature
rev3-19,"Replace with token variables (e.g., `--space-md`)",Do,Refactorplanv3,Remove,Refactorplanv3,revision_003.md,Section: Remove | Target: Any hard-coded `--spacing-*` usage,"Replace with token variables (e.g., `--space-md`)"
rev3-21,Remove and refactor accordingly,Remove,Refactorplanv3,Remove,Refactorplanv3,revision_003.md,Section: Remove | Target: Unused routes/endpoints in `server.js`,Remove and refactor accordingly
rev3-20,Remove if covered by new primitives,Remove,Refactorplanv3,Remove,Refactorplanv3,revision_003.md,Section: Remove | Target: Legacy or duplicate components,Remove if covered by new primitives
rev3-22,Prune and update,Update,Refactorplanv3,Remove,Refactorplanv3,revision_003.md,Section: Remove | Target: Outdated documentation in code,Prune and update
rev3-1,Rename directory to `src/apps/` (and update imports),Rename,Refactorplanv3,Rename,Refactorplanv3,revision_003.md,Section: Rename | Target: `src/features/`,Rename directory to `src/apps/` (and update imports)
rev3-2,Rename to `src/apps/*App*/`,Rename,Refactorplanv3,Rename,Refactorplanv3,revision_003.md,"Section: Rename | Target: `src/features/*App*/` (e.g., Planner)",Rename to `src/apps/*App*/`
rev3-3,Update imports of features → apps,Update,Refactorplanv3,Rename,Refactorplanv3,revision_003.md,Section: Rename | Target: `src/App.jsx` or similar,Update imports of features → apps
rev3-26,"Add high-level tests for critical workflows (e.g., login, API integration)",Add,Refactorplanv3,Test,Refactorplanv3,revision_003.md,Section: Test | Target: E2E flows (optional),"Add high-level tests for critical workflows (e.g., login, API integration)"
rev3-23,"Add/update Jest/Supertest suites for each route file (e.g., `tests/auth.routes.test.js`)",Update,Refactorplanv3,Test,Refactorplanv3,revision_003.md,Section: Test | Target: `tests/` (backend),"Add/update Jest/Supertest suites for each route file (e.g., `tests/auth.routes.test.js`)"
rev3-24,Write unit tests for each extracted primitive (Jest + React Testing Library),Write,Refactorplanv3,Test,Refactorplanv3,revision_003.md,Section: Test | Target: `src/components/ui/*.test.js`,Write unit tests for each extracted primitive (Jest + React Testing Library)
rev3-31,Deploy/publish updated Storybook with new components,Deploy,Refactorplanv3,Document,Storybook,revision_003.md,Section: Document | Target: Storybook,Deploy/publish updated Storybook with new components
rev3-4,Update paths from `features` → `apps`,Update,Refactorplanv3,Rename,Storybook,revision_003.md,Section: Rename | Target: `.storybook` config (if hard-coded),Update paths from `features` → `apps`
rev3-25,Enable Chromatic snapshots for UI primitives and app views,Enable,Refactorplanv3,Test,Storybook,revision_003.md,Section: Test | Target: Storybook visual tests,Enable Chromatic snapshots for UI primitives and app views
